lambda_1,lambda_2,lambda_3,perplexity
0.9702,0.0268,0.003,17.626809374205187
0.9702,0.0269,0.0029,17.66415798801339
0.9702,0.027,0.0028,17.701761698094494
0.9702,0.0271,0.0027,17.739235043171487
0.9702,0.0272,0.0026,17.776656678074975
0.9702,0.0273,0.0025,17.81404222555718
0.9702,0.0274,0.0024,17.8514816485938
0.9702,0.0275,0.0023,17.88895267680874
0.9702,0.0276,0.0022,17.92637517423836
0.9702,0.0277,0.0021,17.96388872610336
0.9702,0.0278,0.002,18.001285257350787
0.9702,0.0279,0.0019,18.03861116120333
0.9702,0.028,0.0018,18.075870721091356
0.9702,0.0281,0.0017,18.113339728032987
0.9702,0.0282,0.0016,18.15066516188461
0.9702,0.0283,0.0015,18.188039299468155
0.9702,0.0284,0.0014,18.22558292986673
0.9702,0.0285,0.0013,18.26285131668718
0.9702,0.0286,0.0012,18.30042931463916
0.9702,0.0287,0.0011,18.337805220636984
0.9702,0.0288,0.001,18.37485432242441
0.9702,0.0289,0.0009,18.412439892630484
0.9702,0.029,0.0008,18.449966649878487
0.9702,0.0291,0.0007,18.487409944690814
0.9702,0.0292,0.0006,18.52491709657886
0.9702,0.0293,0.0005,18.562544901125055
0.9702,0.0294,0.0004,18.600376515119734
0.9702,0.0295,0.0003,18.63818751364919
0.9702,0.0296,0.0002,18.67625282700942
0.9702,0.0297,0.0001,18.714489309649505
0.9703,0.0149,0.0148,12.97995314513966
0.9703,0.015,0.0147,13.021231840969334
0.9703,0.0151,0.0146,13.06240681237933
0.9703,0.0152,0.0145,13.10309806699338
0.9703,0.0153,0.0144,13.144179682623122
0.9703,0.0154,0.0143,13.18516040639071
0.9703,0.0155,0.0142,13.225763896510248
0.9703,0.0156,0.0141,13.266536683262702
0.9703,0.0157,0.014,13.307373775965496
0.9703,0.0158,0.0139,13.348127446583275
0.9703,0.0159,0.0138,13.388768567115113
0.9703,0.016,0.0137,13.429381343305254
0.9703,0.0161,0.0136,13.470205161141356
0.9703,0.0162,0.0135,13.510803953709338
0.9703,0.0163,0.0134,13.550984985785467
0.9703,0.0164,0.0133,13.59178611165743
0.9703,0.0165,0.0132,13.632023613816434
0.9703,0.0166,0.0131,13.672453383381011
0.9703,0.0167,0.013,13.712839517940855
0.9703,0.0168,0.0129,13.753096087494757
0.9703,0.0169,0.0128,13.793496626659705
0.9703,0.017,0.0127,13.833832411191159
0.9703,0.0171,0.0126,13.873834445165413
0.9703,0.0172,0.0125,13.913970325427597
0.9703,0.0173,0.0124,13.954117792575008
0.9703,0.0174,0.0123,13.994293177968368
0.9703,0.0175,0.0122,14.034229794195369
0.9703,0.0176,0.0121,14.074115110477791
0.9703,0.0177,0.012,14.114198999402356
0.9703,0.0178,0.0119,14.154278442286726
0.9703,0.0179,0.0118,14.19403458339588
0.9703,0.018,0.0117,14.233923729079994
0.9703,0.0181,0.0116,14.273871174434548
0.9703,0.0182,0.0115,14.313506559598746
0.9703,0.0183,0.0114,14.35338493555468
0.9703,0.0184,0.0113,14.392969494014245
0.9703,0.0185,0.0112,14.432733235594808
0.9703,0.0186,0.0111,14.472320613123948
0.9703,0.0187,0.011,14.511984554640426
0.9703,0.0188,0.0109,14.551700082351045
0.9703,0.0189,0.0108,14.59105930510263
0.9703,0.019,0.0107,14.63053825143553
0.9703,0.0191,0.0106,14.670182972111594
0.9703,0.0192,0.0105,14.709611402230278
0.9703,0.0193,0.0104,14.749135914596279
0.9703,0.0194,0.0103,14.788315551845423
0.9703,0.0195,0.0102,14.827942377137703
0.9703,0.0196,0.0101,14.867126347224348
0.9703,0.0197,0.01,14.906287562394784
0.9703,0.0198,0.0099,14.945699287735387
0.9703,0.0199,0.0098,14.984840074908155
0.9703,0.02,0.0097,15.024173923892079
0.9703,0.0201,0.0096,15.063275281222355
0.9703,0.0202,0.0095,15.102502164804013
0.9703,0.0203,0.0094,15.141500529097943
0.9703,0.0204,0.0093,15.180509407647122
0.9703,0.0205,0.0092,15.219550067924466
